dn,force_evac,total_memory,thermal,inband_if_vnet,sacl,_ManagedObject__xtra_props,min_active_fan,_handle,inband_if_ip,inband_if_mask,operability,_ManagedObject__status,vendor,serial,id,_class_id,child_action,_ManagedObject__xtra_props_dirty_mask,admin_evac_state,collected_date,_ManagedObject__parent_mo,diff_memory,rn,revision,status,oob_if_ip,oob_if_mac,inventory_status,flt_aggr,oper_evac_state,_ManagedObject__parent_dn,model,admin_inband_if_state,_dirty_mask,inband_if_gw,expected_memory,oob_if_gw,_child,oob_if_mask,shutdown_fan_removeal
sys/switch-A,,1045,unknown,0,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,0.0.0.0,0.0.0.0,operable,,"Cisco Systems, Inc.",JAB121800UL,A,NetworkElement,,1,,2016-12-28 06:58:42,,,switch-A,0,,10.107.123.218,,,0,,sys,UCS-FI-6296UP,disable,0,0.0.0.0,,10.107.123.1,[],255.255.255.0,
sys/switch-B,,1198,unknown,0,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,0.0.0.0,0.0.0.0,operable,,"Cisco Systems, Inc.",JAB221800UL,B,NetworkElement,,1,,2016-12-28 06:58:42,,,switch-B,0,,10.107.123.219,,,0,,sys,UCS-FI-6296UP,disable,0,0.0.0.0,,10.107.123.1,[],255.255.255.0,
