dn,locale,sacl,_ManagedObject__xtra_props,ep_dn,_handle,mcast_policy_name,_ManagedObject__xtra_props_dirty_mask,assoc_primary_vlan_state,collected_date,_ManagedObject__status,pub_nw_name,id,cloud,child_action,_ManagedObject__parent_dn,oper_mcast_policy_name,compression_type,policy_owner,transport,default_net,rn,pub_nw_dn,local,status,sharing,pub_nw_id,r_global,flt_aggr,switch_id,_ManagedObject__parent_mo,assoc_primary_vlan_switch_id,name,peer_dn,_dirty_mask,type,overlap_state_for_a,_child,overlap_state_for_b,config_issues,if_type,oper_state,_class_id,if_role
fabric/lan/net-default,external,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,1,,2016-12-28 06:58:42,,,1,ethlan,,fabric/lan,org-root/mc-policy-default,included,local,ether,no,net-default,,0,,none,1,0,0,dual,,,default,,0,lan,,[],,,virtual,ok,FabricVlan,network
fabric/eth-estc/net-default,external,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,1,,2016-12-28 06:58:42,,,1,ethestclan,,fabric/eth-estc,org-root/mc-policy-default,included,local,ether,no,net-default,,0,,none,0,0,0,dual,,,default,,0,lan,,[],,,virtual,ok,FabricVlan,nas-storage
