dn,_ManagedObject__status,sacl,_ManagedObject__xtra_props,_handle,version_mismatch,_ManagedObject__xtra_props_dirty_mask,ssh_auth_keys_csum,chassis_device_io_state3,chassis_device_io_state2,ssh_key_status,ssh_root_pub_key_size,chassis_device_io_state1,id,_class_id,child_action,_ManagedObject__parent_dn,ssh_auth_keys_size,collected_date,ha_ready,state,rn,status,chassis1,chassis2,chassis3,ha_readiness,problems,umbilical_state,leadership,ha_failure_reason,_ManagedObject__parent_mo,_dirty_mask,_child,ssh_root_pub_key_csum,mgmt_services_state
sys/mgmt-entity-A,,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,no,1,,ok,ok,none,0,ok,A,MgmtEntity,,sys,0,2016-12-28 06:58:42,yes,up,mgmt-entity-A,,1595,1597,1599,ready,"haReady,leadership,membership,umbilical,versionMismatch",full,primary,none,,0,[],,up
sys/mgmt-entity-B,,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,no,1,,ok,ok,none,0,ok,B,MgmtEntity,,sys,0,2016-12-28 06:58:42,yes,up,mgmt-entity-B,,1595,1597,1599,ready,"haReady,leadership,membership,umbilical,versionMismatch",full,subordinate,none,,0,[],,up
