fru_minor_type,dn,fru_major_type,vid,series,_ManagedObject__xtra_props,pid,_handle,_ManagedObject__xtra_props_dirty_mask,clei,oem_part_number,_ManagedObject__status,_class_id,child_action,sku,descr,_ManagedObject__parent_dn,collected_date,policy_owner,sacl,policy_level,rn,status,description,oem_name,int_id,_ManagedObject__parent_mo,name,_child,_dirty_mask,is_sec_fw_update,caption,part_number,vendor_equipment_type
,capabilities/manufacturer-0x80CE-model-M393B5670EH1-CH9-revision-0/manufacturing,,V01,,{},N01-M302GB1,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B5670EH1-CH901,,EquipmentManufacturingDef,,N01-M302GB1,,capabilities/manufacturer-0x80CE-model-M393B5670EH1-CH9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"2GB DDR3 DIMM; ECC, Registered, 1333MHz","Samsung Electronics, Inc.",257640,,"2GB DDR3 DIMM; ECC, Registered, 1333MHz",[],0,,"2GB DDR3 DIMM; ECC, Registered, 1333MHz",15-11765-01,
,capabilities/manufacturer-0xCE00-model-M393B5170EH1-CF8-revision-0/manufacturing,,V01,,{},N01-M304GA1,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B5170EH1-CF801,,EquipmentManufacturingDef,,N01-M304GA1,,capabilities/manufacturer-0xCE00-model-M393B5170EH1-CF8-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"4GB DDR3 DIMM; ECC, Registered, 1066MHz","Samsung Electronics, Inc.",257642,,"4GB DDR3 DIMM; ECC, Registered, 1066MHz",[],0,,"4GB DDR3 DIMM; ECC, Registered, 1066MHz",15-11766-01,
,capabilities/manufacturer-Cisco Systems-model-N10-S6200-revision-0/manufacturing,,V01,,{},N10-S6200,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,N10-S6200,,capabilities/manufacturer-Cisco Systems-model-N10-S6200-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Cisco UCS 6140XP 40 Port 2RU Fabric Interconnect,,257648,,Cisco UCS 6140XP,[],0,,Cisco UCS 6140XP 40 Port Fabric Interconnect,N10-S6200,
,capabilities/manufacturer-0xCE00-model-M393B5670FH0-YH9-revision-0/manufacturing,,V01,,{},N01-M302GB1-L,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B5670FH0-YH9,,EquipmentManufacturingDef,,N01-M302GB1-L,,capabilities/manufacturer-0xCE00-model-M393B5670FH0-YH9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"2GB DDR3 LOW VOLTAGE DIMM; ECC, Registered, 1333MHz","Samsung Electronics, Inc.",257653,,"2GB DDR3 LOW VOLTAGE DIMM; ECC, Registered, 1333MHz",[],0,,"2GB DDR3 LOW VOLTAGE DIMM; ECC, Registered, 1333MHz",15-12296-01,
,capabilities/manufacturer-0xAD00-model-HMT151R7BFR4C-H9-revision-0/manufacturing,,V01,,{},N01-M304GB1,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,HMT151R7BFR4C-H9D7,,EquipmentManufacturingDef,,N01-M304GB1,,capabilities/manufacturer-0xAD00-model-HMT151R7BFR4C-H9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,4GB DDR3-1333MHz RDIMM/PC3-10600/dual rank 1Gb DRAM,Hynix Semiconductor Inc.,257659,,4GB DDR3-1333MHz RDIMM/PC3-10600/dual rank 1Gb DRAM,[],0,,4GB DDR3-1333MHz RDIMM/PC3-10600/dual rank 1Gb DRAM,15-11767-01,
,capabilities/manufacturer-0xAD00-model-HMT351R7BFR4A-H9-revision-0/manufacturing,,V01,,{},A02-M304GB2-L,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,HMT351R7BFR4A-H9,,EquipmentManufacturingDef,,A02-M304GB2-L,,capabilities/manufacturer-0xAD00-model-HMT351R7BFR4A-H9-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,4GB DDR3-1333MHz RDIMM/PC3-10600 1R Low Voltage,Hynix Semiconductor Inc.,257662,,4GB DDR3-1333MHz RDIMM/PC3-10600 1R Low Voltage,[],0,,4GB DDR3-1333MHz RDIMM/PC3-10600 1R Low Voltage,15-12290-01,
,capabilities/manufacturer-0x80CE-model-M393B4G70BM0-YF8-revision-0/manufacturing,,V01,,{},UCS-MR-2X324RW-C,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M393B4G70BM0-YF8,,EquipmentManufacturingDef,,UCS-MR-2X324RW-C,,capabilities/manufacturer-0x80CE-model-M393B4G70BM0-YF8-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,32GB DDR3-1333MHz RDIMM/PC3-10600/quad rank/x4/Low Volt,"Samsung Electronics, Inc.",257665,,32GB DDR3-1333MHz RDIMM/PC3-10600/quad rank/x4/Low Volt,[],0,,32GB DDR3-1333MHz RDIMM/PC3-10600/quad rank/x4/Low Volt,15-32GBx-01,
,capabilities/manufacturer-0xAD00-model-HMT31GR7EFR4C-RD-revision-0/manufacturing,,V01,,{},UCS-MR-1X082RZ-A,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,HMT31GR7EFR4C-RD,,EquipmentManufacturingDef,,UCS-MR-1X082RZ-A,,capabilities/manufacturer-0xAD00-model-HMT31GR7EFR4C-RD-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,8GB DDR3-1866MHz RDIMM/PC3-14900/dual rank/1.5V,Hynix,257667,,8GB DDR3-1866MHz RDIMM/PC3-14900/dual rank/1.5V,[],0,,8GB DDR3-1866MHz RDIMM/PC3-14900/dual rank/1.5V,15-14068-01,
,capabilities/manufacturer-0xAD00-model-HMT42GR7AFR4C-RD-revision-0/manufacturing,,V01,,{},UCS-MR-1X162RZ-A,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,HMT42GR7AFR4C-RD,,EquipmentManufacturingDef,,UCS-MR-1X162RZ-A,,capabilities/manufacturer-0xAD00-model-HMT42GR7AFR4C-RD-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,16GB DDR3-1866MHz RDIMM/PC3-14900/dual rank/1.5V,Hynix,257669,,16GB DDR3-1866MHz RDIMM/PC3-14900/dual rank/1.5V,[],0,,16GB DDR3-1866MHz RDIMM/PC3-14900/dual rank/1.5V,15-14068-01,
,capabilities/manufacturer-0xAD00-model-HMT31GR7CFR4A-PB-revision-0/manufacturing,,V01,,{},UCS-MR-1X082RY-A,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,HMT31GR7CFR4A-PB,,EquipmentManufacturingDef,,UCS-MR-1X082RY-A,,capabilities/manufacturer-0xAD00-model-HMT31GR7CFR4A-PB-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,8GB DDR3-1600MHz RDIMM/PC3-12800/dual rank/1.35V,Hynix.,257671,,8GB DDR3-1600MHz RDIMM/PC3-12800/dual rank/1.35V,[],0,,8GB DDR3-1600MHz RDIMM/PC3-12800/dual rank/1.35V,15-13637-01,
