fsm_stage_descr,dn,num_of_eth_host_ifs,total_memory,scaled_mode,fsm_try,num_of_fc_host_ifs,sacl,discovery_status,fsm_rmt_inv_err_descr,_handle,oper_state,presence,num_of40_g_adaptors_with_old_fw,num_of_adaptors,lc_ts,num_of_threads,fsm_rmt_inv_err_code,fsm_prev,_ManagedObject__status,fsm_status,serial,revision,availability,_class_id,child_action,admin_power,server_id,fsm_stamp,available_memory,descr,_ManagedObject__parent_dn,fsm_progr,fsm_flags,part_number,chassis_id,check_point,policy_owner,local_id,managing_inst,oper_qualifier,mfg_time,policy_level,rn,oper_pwr_trans_src,discovery,status,vid,_ManagedObject__xtra_props,vendor,conn_path,num_of40_g_adaptors_with_unknown_fw,memory_speed,flt_aggr,conn_status,assigned_to_dn,admin_state,num_of_cpus,int_id,fsm_rmt_inv_rslt,_ManagedObject__parent_mo,association,lc,name,_child,_dirty_mask,collected_date,low_voltage_memory,original_uuid,uuid,_ManagedObject__xtra_props_dirty_mask,fsm_descr,oper_power,slot_id,usr_lbl,num_of_cores,model,num_of_cores_enabled,operability
,sys/chassis-8/blade-7,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3390,0,available,ComputeBlade,,policy,8/7,2016-12-28T04:42:04.342,196608,,sys/chassis-8,100,,,8,discovered,local,,B,,not-applicable,0,blade-7,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,none,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0807-b9a761bde3fb,1b4e28ba-2fa1-11d2-0807-b9a761bde3fb,1,,on,7,,8,UCSB-B22-M3,8,operable
,sys/chassis-8/blade-5,0,8192,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,6,none,DiscoverSuccess,,nop,3387,0,available,ComputeBlade,,policy,8/5,2016-12-28T04:42:03.943,8192,,sys/chassis-8,100,,,8,discovered,local,,B,,not-applicable,0,blade-5,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,1,none,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0805-b9a761bde3fb,1b4e28ba-2fa1-11d2-0805-b9a761bde3fb,1,,on,5,,6,UCSB-B200-M3,6,operable
,sys/chassis-8/blade-4,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3388,0,available,ComputeBlade,,policy,8/4,2016-12-28T04:42:03.951,196608,,sys/chassis-8,100,,,8,discovered,local,,B,,not-applicable,0,blade-4,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,none,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0804-b9a761bde3fb,1b4e28ba-2fa1-11d2-0804-b9a761bde3fb,1,,on,4,,8,UCSB-B22-M3,8,operable
,sys/chassis-8/blade-3,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3393,0,available,ComputeBlade,,policy,8/3,2016-12-28T04:42:04.609,393216,,sys/chassis-8,100,,,8,discovered,local,,B,,not-applicable,0,blade-3,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,none,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0803-b9a761bde3fb,1b4e28ba-2fa1-11d2-0803-b9a761bde3fb,1,,on,3,,8,UCSB-B200-M3,8,operable
,sys/chassis-10/blade-2,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,compute-mismatch,mismatch,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3397,0,available,ComputeBlade,,policy,10/2,2016-12-22T08:29:31.121,393216,,sys/chassis-10,100,,,10,discovered,local,,A,mismatch,not-applicable,0,blade-2,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,75326,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0a02-b9a761bde3fb,1b4e28ba-2fa1-11d2-0a02-b9a761bde3fb,1,,on,2,,8,UCSB-B200-M3,8,operable
,sys/chassis-10/blade-1,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,compute-mismatch,mismatch,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3400,0,available,ComputeBlade,,policy,10/1,2016-12-22T08:29:31.262,196608,,sys/chassis-10,100,,,10,discovered,local,,B,mismatch,not-applicable,0,blade-1,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,75404,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0a01-b9a761bde3fb,1b4e28ba-2fa1-11d2-0a01-b9a761bde3fb,1,,on,1,,8,UCSB-B22-M3,8,operable
,sys/chassis-10/blade-8,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,compute-mismatch,mismatch,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3399,0,available,ComputeBlade,,policy,10/8,2016-12-22T08:29:31.092,393216,,sys/chassis-10,100,,,10,discovered,local,,A,mismatch,not-applicable,0,blade-8,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,75482,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0a08-b9a761bde3fb,1b4e28ba-2fa1-11d2-0a08-b9a761bde3fb,1,,on,8,,8,UCSB-B200-M3,8,operable
,sys/chassis-10/blade-7,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,compute-mismatch,mismatch,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3398,0,available,ComputeBlade,,policy,10/7,2016-12-22T08:29:31.031,196608,,sys/chassis-10,100,,,10,discovered,local,,A,mismatch,not-applicable,0,blade-7,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,75560,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0a07-b9a761bde3fb,1b4e28ba-2fa1-11d2-0a07-b9a761bde3fb,1,,on,7,,8,UCSB-B22-M3,8,operable
,sys/chassis-10/blade-6,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,compute-mismatch,mismatch,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3402,0,available,ComputeBlade,,policy,10/6,2016-12-22T08:29:31.271,393216,,sys/chassis-10,100,,,10,discovered,local,,A,mismatch,not-applicable,0,blade-6,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,75638,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0a06-b9a761bde3fb,1b4e28ba-2fa1-11d2-0a06-b9a761bde3fb,1,,on,6,,8,UCSB-B200-M3,8,operable
,sys/chassis-10/blade-5,0,8192,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,compute-mismatch,mismatch,,2,1970-01-01T00:00:00.000,6,none,DiscoverSuccess,,nop,3395,0,available,ComputeBlade,,policy,10/5,2016-12-22T08:29:31.282,8192,,sys/chassis-10,100,,,10,discovered,local,,A,mismatch,not-applicable,0,blade-5,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,1,75716,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0a05-b9a761bde3fb,1b4e28ba-2fa1-11d2-0a05-b9a761bde3fb,1,,on,5,,6,UCSB-B200-M3,6,operable
